year,co2-concentration,c02-emission,c02-emission(in billion t),cumulative CO2 emissions ,CO2 concentration relative to 1850,change in temperature since 1850 ,years since 1850
1850,"284,00165",1369598300,"1,3695983","1,3695983",1,-0.07787656,0
1851,"287,1281",1380536200,"1,3805362","2,7501345","1,01100856280236",0.08536542,1
1854,"288,05444",1363179500,"1,3631795","4,113314","1,01427030441549",0.109309204,4
1855,"285,56558",1412227300,"1,4122273","5,5255413","1,00550676378113",-0.110081755,5
1857,"283,1621",1495963900,"1,4959639","7,0215052","0,997043855202954",0.019652942,7
1859,"286,6331",1545450800,"1,5454508","8,566956","1,00926561518217",0.13379936,9
1862,"287,17456",1618405200,"1,6184052","10,1853612","1,01117215340122",0.076807,12
1863,"285,35333",1706966500,"1,7069665","11,8923277","1,00475940896822",-0.07343387,13
1864,"286,65414",1864424200,"1,8644242","13,7567519","1,00933969925879",-0.17125247,14
1867,"285,0523",1962883800,"1,9628838","15,7196357","1,0036994503377",-0.23310672,17
1868,"288,7642",2025628200,"2,0256282","17,7452639","1,01676944482541",-0.04198443,18
1870,"287,15613",2076956000,"2,076956","19,8222199","1,01110725941205",0.048589446,20
1873,"286,6551",2264592000,"2,264592","22,0868119","1,00934307952084",-0.1355211,23
1874,"291,5582",2290254800,"2,2902548","24,3770667","1,0266074158372",-0.14259313,24
1877,"289,32812",2440570600,"2,4405706","26,8176373","1,01875506709204",-0.16894333,27
1880,"287,77072",2548978200,"2,5489782","29,3666155","1,01327129613508",-0.15812288,30
1883,"292,46393",2904949200,"2,9049492","32,2715647","1,0297965874494",-0.17583631,33
1884,"289,4945",2790395100,"2,7903951","35,0619598","1,0193409087588",-0.11218607,34
1886,"288,11575",2907111700,"2,9071117","37,9690715","1,01448618344295",-0.09955799,36
1887,"294,3418",3050273000,"3,050273","41,0193445","1,03640876734343",0.104505904,37
1889,"292,34238",3097207300,"3,0972073","44,1165518","1,02936859697822",0.17337433,39
1890,"290,91754",3253928700,"3,2539287","47,3704805","1,02435158387284",-0.05626356,40
1892,"295,17194",3524845800,"3,5248458","50,8953263","1,03933177853016",-0.1799336,42
1893,"294,08795",3197750000,"3,19775","54,0930763","0,102421764098906",-0.06207218,43
1894,"293,48767",3148030700,"3,1480307","57,241107","1,03340128481648",0.031567015,44
1899,"296,16443",3400232200,"3,4002322","60,6413392","1,04282644132525",0.059566654,49
1900,"294,22073",3556498400,"3,5564984","64,1978376","1,03598246700327",0.12256629,50
1902,"295,61063",3506084600,"3,5060846","67,7039222","1,04087645265441",0.025829384,52
1904,"295,99136",3041113000,"3,041113","70,7450352","1,04221704345732",0.04940743,54
1905,"299,0236",3546758000,"3,546758","74,2917932","1,05289388283484",0.05545739,55
1906,"298,47754",3114994000,"3,114994","77,4067872","1,05097114752678",0.08436141,56
1909,"301,50415",3264716800,"3,2647168","80,671504","1,06162816307581",0.24183145,59
1910,"297,8691",3702996000,"3,702996","84,3745","1,04882876560752",0.13812429,60
1911,"298,36343",3716142600,"3,7161426","88,0906426","1,0505693540865",0.15554583,61
1913,"301,29773",3740632800,"3,7406328","91,8312754","1,06090133631266",-0.026352962,63
1914,"300,7001",3677406700,"3,6774067","95,5086821","1,05879701755254",0.19407724,64
1916,"301,91516",4012946700,"4,0129467","99,5216288","1,06307537297759",0.25814116,66
